0,1,model
0.00040433864158950783,-2.5729288293252498e-05,LASSO
0.004305738734517117,0.005448528783375427,LASSO
0.005599951187491681,0.007014040012767064,LASSO
-0.00684137391343409,-0.010465576351409213,SVM
-0.049997606274824635,-0.07024650544058297,SVM
0.10175855277581713,0.08889074048067991,SVM
0.014019298941149727,-0.009371908681455432,RF
0.13213355869250787,0.1140740513109678,RF
0.1421184223238916,0.1281032995364385,RF
0.014789547503500144,-0.006742480377928351,XGBoost
0.1318272611329775,0.11566015159904708,XGBoost
0.14188633909767634,0.12893773520075524,XGBoost
